Country Name,Country Code,Series,Series Code,2000 [YR2000],2001 [YR2001],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],PercentChange0116,PercentChange1116
Equatorial Guinea,GNQ,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,88.3083,,,,,95,,,,,
Equatorial Guinea,GNQ,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,97.13137,,,,,98.2,,,,,
Equatorial Guinea,GNQ,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,67.2379,,,,,95.4,,,,,
Equatorial Guinea,GNQ,"Net enrolment rate, secondary, both sexes (%)",SE.SEC.NENR,,18.12672,,,,,,,,,
Equatorial Guinea,GNQ,"Total net enrolment rate, lower secondary, both sexes (%)",UIS.NERT.2,,62.57545,,,,,,,,,
Equatorial Guinea,GNQ,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",UIS.GER.4,,,,,,,,,,,
Eritrea,ERI,GDP per capita (constant LCU),NY.GDP.PCAP.KN,2003.895631,2114.333178,1802.582972,,,,,,,,
Eritrea,ERI,"Net enrolment rate, secondary, both sexes (%)",SE.SEC.NENR,27.63756,26.97164,48.75162,51.39255,48.24244,48.19877,42.78074,,40.69051,,
Eritrea,ERI,"Total net enrolment rate, lower secondary, both sexes (%)",UIS.NERT.2,55.29498,52.31731,75.63685,74.86275,65.49652,64.43929,64.57619,,65.06317,,
Eritrea,ERI,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,6.7678,6.71369,16.81393,15.40951,18.89422,16.95721,17.83757,,19.52107,,
Eritrea,ERI,"Total net enrolment rate, primary, both sexes (%)",UIS.NERT.1,53.39569,56.45003,68.30226,70.33991,66.27951,64.15399,60.7504,,52.99455,,
Eritrea,ERI,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,
Eritrea,ERI,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",UIS.GER.4,,2.35614,2.22327,1.9809,3.29068,3.26891,4.2672,,4.67519,,
Eritrea,ERI,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,,,,,,,,,,,
Eritrea,ERI,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,
Estonia,EST,GDP per capita (constant LCU),NY.GDP.PCAP.KN,7632.149379,8167.021608,11928.67793,,12774.2938,13178.07675,13389.93521,13662.2268,,0.672853025,0.145326153
Estonia,EST,"Total net enrolment rate, primary, both sexes (%)",UIS.NERT.1,98.98117,98.91017,99.97518,99.95427,98.75349,97.9717,97.54431,97.36873,97.56746,-0.015584242,-0.026070971
Estonia,EST,"Net enrolment rate, secondary, both sexes (%)",SE.SEC.NENR,85.07887,85.7722,91.33162,91.28602,92.09885,92.68432,93.82438,94.2014,94.36474,0.098274266,0.031421538
Estonia,EST,"Total net enrolment rate, lower secondary, both sexes (%)",UIS.NERT.2,97.52794,98.16071,97.54993,99.69484,99.23783,99.35771,99.22887,99.5338,98.69736,0.013988183,0.02033697
Estonia,EST,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,,,86.81615,87.90125,87.1452,89.99952,88.60461,87.14224,87.17385,,0.003756098
Estonia,EST,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.7705,,99.9489,,,,,,,,
Estonia,EST,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,99.82683,,99.86562,,,,,,,,
Estonia,EST,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,99.7672,,99.88579,,,,,,,,
Estonia,EST,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",UIS.GER.4,22.49726,29.37725,29.7835,33.39426,33.63171,37.59715,37.09818,29.81029,24.35929,0.014740658,0.000899491
Eswatini,SWZ,"Total net enrolment rate, primary, both sexes (%)",UIS.NERT.1,,,93.07433,88.33795,84.57806,85.37085,84.30768,84.37134,82.59389,,-0.093505803
Eswatini,SWZ,"Total net enrolment rate, lower secondary, both sexes (%)",UIS.NERT.2,,,93.14698,94.67355,97.88047,96.4502,97.23758,,,,
Eswatini,SWZ,"Net enrolment rate, secondary, both sexes (%)",SE.SEC.NENR,31.12904,32.32801,39.58057,40.13429,39.00495,40.49563,41.69996,,,,
Eswatini,SWZ,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,,,19.42086,,,,,,,,
Eswatini,SWZ,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",UIS.GER.4,,,0.61618,0.31899,0.37066,0.4984,,,,,
Eswatini,SWZ,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,79.10594,,,,,,,,,,
Eswatini,SWZ,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,91.86324,,,,,,,,,,
Eswatini,SWZ,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,81.6607,,,,,,,,,,
Ethiopia,ETH,GDP per capita (constant LCU),NY.GDP.PCAP.KN,5785.762504,6087.208762,10881.79991,,12406.95657,13331.30376,14347.44568,15051.06544,16189.35812,1.472572574,0.383141168
Ethiopia,ETH,"Total net enrolment rate, lower secondary, both sexes (%)",UIS.NERT.2,33.91626,37.75794,57.97552,59.65994,,52.68112,52.95187,,,,
Ethiopia,ETH,GDP per capita (constant LCU),NY.GDP.PCAP.KN,3041.341947,3199.800084,5720.123232,,6521.836565,7007.728591,7541.87341,7911.737931,,1.472572574,0.383141168
Ethiopia,ETH,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",UIS.GER.4,0.38296,0.47227,,,,,,,,,
Ethiopia,ETH,"Total net enrolment rate, primary, both sexes (%)",UIS.NERT.1,40.27072,44.56625,78.28082,79.80745,,86.15896,85.62193,,,,
Ethiopia,ETH,"Net enrolment rate, secondary, both sexes (%)",SE.SEC.NENR,12.48979,13.21767,,,,30.09293,30.8138,,,,
Ethiopia,ETH,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,
Ethiopia,ETH,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,,,3.79643,15.55639,,22.93744,27.86467,,,,
Ethiopia,ETH,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,,,,,,,,,,,
Ethiopia,ETH,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,
Euro area,EMU,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,,,,,,,,,,,
Euro area,EMU,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",UIS.GER.4,,,,,,,,,,,
Euro area,EMU,"Total net enrolment rate, lower secondary, both sexes (%)",UIS.NERT.2,95.97665,96.36701,97.68759,97.5105,97.24826,97.19213,97.39301,97.49682,97.50813,0.011724033,-0.001952858
Euro area,EMU,"Net enrolment rate, secondary, both sexes (%)",SE.SEC.NENR,86.44348,86.81561,91.0084,90.9434,90.45613,90.57256,90.81588,91.01842,91.06139,0.048410764,0.0001101
Euro area,EMU,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,98.2806,98.37608,98.77452,98.81927,98.86477,98.8867,98.91283,98.94653,,0.005798666,0.001741441
Euro area,EMU,"Total net enrolment rate, primary, both sexes (%)",UIS.NERT.1,,,,,,,,,,,
Euro area,EMU,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,98.9859,99.08102,99.3724,99.38956,99.41481,99.42059,99.4315,99.44329,,0.003656301,0.000713377
Euro area,EMU,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.48432,99.54435,99.72862,99.73547,99.74058,99.75189,99.74794,99.74857,,0.002051548,0.000200043
Europe & Central Asia,ECS,"Net enrolment rate, secondary, both sexes (%)",SE.SEC.NENR,84.42316,85.66847,88.24398,88.39936,89.64901,90.34875,91.01175,90.933,91.11647,0.061452364,0.03047256
Europe & Central Asia,ECS,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",UIS.GER.4,,,,,,,,,,,
Europe & Central Asia,ECS,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,,,,,,,,,,,
Europe & Central Asia,ECS,"Total net enrolment rate, primary, both sexes (%)",UIS.NERT.1,,,,,,,,,,,
Europe & Central Asia,ECS,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,98.41166,98.5098,99.31652,99.36441,99.39396,99.41059,99.42591,99.4387,,0.009429519,0.001230208
Europe & Central Asia,ECS,"Total net enrolment rate, lower secondary, both sexes (%)",UIS.NERT.2,93.98439,95.05504,95.87975,95.99594,96.23085,96.28829,96.21578,96.2586,96.4291,0.012661717,0.003951304
Europe & Central Asia,ECS,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.15318,99.19578,99.63849,99.66929,99.6944,99.71251,99.7266,99.75331,,0.005620501,0.001152366
Europe & Central Asia,ECS,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,97.88235,97.96304,98.87012,98.94292,98.98037,99.00192,99.02565,99.06869,,0.011286399,0.002008392
Europe & Central Asia (IDA & IBRD countries),TEC,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,98.89757,98.92803,99.53626,99.58386,99.623,99.64676,99.67275,99.72,,0.008005517,0.00184596
Europe & Central Asia (IDA & IBRD countries),TEC,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,97.14596,97.21642,98.69315,98.80603,98.84606,98.87219,98.89842,98.95928,,0.01792763,0.00269654
Europe & Central Asia (IDA & IBRD countries),TEC,"Total net enrolment rate, primary, both sexes (%)",UIS.NERT.1,,,,,,,,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,97.65294,97.75655,99.13837,99.22355,99.26535,99.29539,99.31733,99.33406,,0.016137128,0.001973908
Europe & Central Asia (IDA & IBRD countries),TEC,"Net enrolment rate, secondary, both sexes (%)",SE.SEC.NENR,82.13582,83.8666,85.92192,86.4783,88.53304,89.24175,90.1283,89.9716,90.28825,0.072794176,0.047132094
Europe & Central Asia (IDA & IBRD countries),TEC,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,,,,,,,,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",UIS.GER.4,,,,,,,,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,"Total net enrolment rate, lower secondary, both sexes (%)",UIS.NERT.2,92.39045,93.93061,94.54416,95.14187,95.40645,95.52231,95.13655,95.05211,95.34847,0.011939665,0.005372622
Europe & Central Asia (excluding high income),ECA,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,98.80105,98.83539,99.51177,99.56374,99.60638,99.63228,99.66067,99.71222,,0.00887162,0.002014335
Europe & Central Asia (excluding high income),ECA,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,97.42438,97.538,99.0724,99.16785,99.21493,99.24885,99.27367,99.29251,,0.017987964,0.002221709
Europe & Central Asia (excluding high income),ECA,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,96.91603,96.99275,98.62805,98.75351,98.79772,98.82647,98.85536,98.92272,,0.019898085,0.00298769
Europe & Central Asia (excluding high income),ECA,"Net enrolment rate, secondary, both sexes (%)",SE.SEC.NENR,81.46884,83.28685,85.60562,86.21228,88.34308,89.10084,90.00997,89.82876,90.17304,0.078546733,0.049332509
Europe & Central Asia (excluding high income),ECA,"Total net enrolment rate, primary, both sexes (%)",UIS.NERT.1,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",UIS.GER.4,,,,,,,,,,,
